player_name,draft_round,draft_number,pts,ast_pct,reb_pct,ts_pct,usg_pct,champ,all_star
Dan Dickau,1,28,5.05,0.2656666667,0.1041666667,0.5098333333,0.1911666667,0,0
Dan Gadzuric,2,33,3.92,0.0386,0.3532,0.4407,0.1582,0,0
Dan Majerle,1,14,6.983333333,0.1325,0.1568333333,0.5238333333,0.125,0,3
Dana Barros,1,16,8.5,0.1982857143,0.08742857143,0.5775714286,0.189,0,1
Daniel Gibson,2,42,7.657142857,0.133,0.1,0.5401428571,0.1557142857,0,0
Daniel Theis,0,0,7.5,0.1001666667,0.2365,0.5953333333,0.1601666667,0,0
Danilo Gallinari,1,6,15.11538462,0.09769230769,0.1703846154,0.5896923077,0.2069230769,0,0
Danny Ferry,1,2,5.885714286,0.08657142857,0.1515714286,0.5378571429,0.1471428571,1,0
Danny Fortson,1,10,7.83,0.0449,0.4234,0.5796,0.1775,0,0
Danny Granger,1,17,15,0.0947,0.1719,0.5307,0.2308,0,1
Danny Green,2,46,7.842857143,0.07978571429,0.1436428571,0.5645,0.1597142857,3,0
Danny Manning,1,1,7.814285714,0.1298571429,0.227,0.5201428571,0.2048571429,0,2
Dante Cunningham,2,33,5.69,0.0512,0.2094,0.522,0.1322,0,0
Dante Exum,1,5,5.716666667,0.1855,0.1136666667,0.5106666667,0.1693333333,0,0
Danuel House Jr.,0,0,7.666666667,0.08033333333,0.1393333333,0.5718333333,0.144,0,0
Dario Saric,1,12,10.63333333,0.1171666667,0.2365,0.5658333333,0.1996666667,0,0
Darius Miles,1,3,9.9,0.1245714286,0.2087142857,0.501,0.2158571429,0,0
Darius Miller,2,46,4.533333333,0.09966666667,0.08483333333,0.5123333333,0.1153333333,0,0
Darius Songaila,2,49,6.4125,0.0945,0.215375,0.532875,0.175,0,0
Darko Milicic,1,2,4.88,0.0697,0.2531,0.4143,0.197,0,0
Darrell Armstrong,0,0,8.975,0.2800833333,0.1325,0.5178333333,0.18875,0,0
